barcode,name,unit
FAH64003524,ปากกาไวท์บอร์ด แดง*ULTRA TANK ตราช้าง*12,กล่อง
9555684673954,ปากกาเน้นข้อความเฟเบอร์สลิม ชมพูพาสเทล *10ด,กล่อง
FAH64007024,ถุงกระดาษ มีหูหิ้ว SG-2117 (12ชิ้น/แพ็ค),แพ็ค
8851907125059,ดินสอดำ Master Art 2B (12แท่ง/กล่อง),กล่อง
47464011887,ปากกาลูกลื่น153*การ์ตูน0.5*ส้มสปร์คกลิ้ง*12ด.,แพ็ค
4746718873,"เทปกระดาษกาวย่น LOUIS #M245 1"" X 20Y*12ชิ้น",แพ็ค
FAH64001491,คัตเตอร์ ORCA JUMBO A C-SJ (6ชิ้น/กล่อง),แผง
FAH64000087,บิลส่งของชั่วคราว Flamingo No.1 (10เล่ม/แพ็ค),แพ็ค
4740196,พู่กันกลมไทยแหลมทอง#6 *12ด,แพ็ค
4746820897,ดินสอดำแฟนซี มาสเตอร์อาร์ต 2B Sweet Cat No.4 (12กล่อง/แพ็ค),แพ็ค
FAH64008779,DLยางลบ E7536  *45ก,กล่อง
4746718954,แฟ้มซองกระดุมF4 MT CG-OS07 (12ชิ้น/แพ็ค),โหล
4746617863,เทปผ้า Armstrong 36mmx8 สีชมพู*8,แพ็ค
FAH64000086,บิลเงินสด Flamingo No.0 (10เล่ม/แพ็ค),แพ็ค
4746617688,เทปปิดกล่อง Otter 48mmx45y สีใส *6,แพ็ค
FAH64000929,หมึกเติมแท่นประทับ Elephant 30มล. หมึกน้ำเงิน (12ขวด/แพ็ค),แพ็ค
18851907030923,พู่กัน Master Art จิตรกรน้อย กลม เบอร์ 4 10ด้าม/แพ็ค,แพ็ค
610714111359,พู่กันไลน์เนอร์ I-PAINT #Os (12ชิ้น/แพ็ค),แพ็ค
4746922475,ดินสอสีแท่งยาว Master Art 36สี (12กล่อง/แพ็ค),แพ็ค
FAH64000134,เนื้อในแฟ้มประวัติพนักงานส่วนตำบล(สีเขียว) (100เล่ม/แพ็ค),แพ็ค
FAH64005367,ก้านลูกโป่ง คละสี (100ก้าน/ห่อ),ห่อ
FAH64002442,"เทปใสเดลต้า3/4""(18mmx33m.) *8ม",แพ็ค
FAH64006579,ผ้าก๊อซ 3x3รถพยาบาล *10ช.,กล่อง
6935840913651,ปากกาลูกลื่น Faster CX510 0.5 แดง (12ด้าม/กล่อง),กล่อง
47465015375,แม็กซ์ลวดเย็บ(กล่องส้ม)T3-13MB*20ชิ้น,กล่อง
FAH64001352,กรรไกร KTV 5นิ้ว No.126A (24ชิ้น/กล่อง),กล่อง
FAH64001511,SDIลวดเสียบเหลี่ยม No.1(50pcs) *10ก,แพ็ค
18851907030947,พู่กัน Master Art จิตรกรน้อย กลม เบอร์ 6 10ด้าม/แพ็ค,แพ็ค
47465013562,ชุดเรขา4ชิ้น DOMON MF-026 คละสี (12แพ็ค/ห่อ),ห่อ
47464011304,ปากกา Quantum TWIST 0.5 หมึกน้ำเงิน 50ด้าม/กระปุก,กระปุก
47464012567,ใบมีดคัตเตอร์ MESA B-150 60องศา ใบใหญ่ (10หลอด/กล่อง),กล่อง
47465013702,ปากกาเคมี2หัว Flexoffice FO-PM01 สีดำ (12ด้าม/กล่อง),กล่อง
4746821425,ดินสอดำ Quantum 2B QP-960 (12กล่อง/แพ็ค),แพ็ค
8851907260781,ดินสอดำHB*แฟนซีNO.2*12ด.*มาสเตอร์อาร์ต,กล่อง
FAH64001291,แฟ้มสันกว้าง3นิ้ว ตราช้าง 120F ดำ (12เล่ม),โหล
4007817832516,ปากกามาร์เกอร์ เมเทลิค แดง *10,กล่อง
4746617689,เทปปิดกล่อง Otter 48mmx30y สีชา*6,แพ็ค
4746923403,ปากกาไฮไลท์สเต็ดเล่อร์ ม่วง *10ด,กล่อง
FAH64003642,ปากกาไวท์บอร์ด FABER-CASTELL สีแดง (10ด้าม/กล่อง),กล่อง
