code,barcode2,name,unit
FAH64003859,4740704,ริบบิ้นNo.2ตราลูกโป่ง *10ม,แพ็ค
8851552201689,,ปากกาเคมี2หัวตราม้า/สีเหลือง *12ด,กล่อง
47466016493,,กระดาษ IQ BRAND Growth Series A4 70แกรม (2500แผ่น/ลัง),ลัง
4746820577,8850172512380,ไหมพรมG-5003-10/40กรัม สีเขียวนีออน (12ชิ้น/แพ็ค),แพ็ค
28851907079141,,ดินสอวาดเขียนEE เรนาซองซ์ *12ท,กล่อง
4746922798,8851907317027,ปากกาเจลลูลอยด์ Quantum 100HITZ 1.0mm. แบบกด หมึกแดง (50ด้าม/กระบอก),กระบอก
16935205310092,,ดินสอไม้2B Deli 51800 (12กล่อง/แพ็ค),แพ็ค
47465013318,8851907265175,ตราช้าง แฟ้มกระเป๋าซองตาไก่ 431F ม่วง*12ช,แพ็ค
FAH64001021,38850304021026,โพสต์-อิทซูเปอร์สติกกี้นีออน 3M *10ช,กล่อง
47465014984,,แฟ้มกระดุม A4 MMF003*แพ็ค12,แพ็ค
8809419814305,,JAVA เน้นข้อความชุด12สีพาสเทล *12,กล่อง
10084511381671,,ปากกาเจลXPGB-420ชมพูนม *12ด,กล่อง
47465015891,18851907298798,สมุดสพฐ เส้นเดี่ยว 80แผ่น*ตราช้าง*C-104*12เล่ม,โหล
4740204,,พู่กันกลม ไทยแหลมทอง #1 *12ด,แพ็ค
47464011985,8853891165905,"ซองน้ำตาลขยายข้าง KKP มีครุฑ 9""x12 3/4 C4 KA (50ซอง)",มัด
4746821549,8935324039844,ปากกา flexoffice ลูกลื่น flex learn แบบกด 0.7มม. FO-GELB031 หมึกน้ำเงิน (50ด้าม/กระบอก),กระบอก
FAH64001922,6937199398035,แฟ้มซองกระดุมA4คละสี H017-1 *12ช,แพ็ค
8809115125439,,ปากกาลูกลื่น0.38 FASTER CX919 สีแดง (12ด้าม/กล่อง),กล่อง
47465015644,8858741765724,AA สมุดนักเรียน สพฐ บรรทัด5เส้น 80แผ่น (12เล่ม/แพ็ค),โหล
9555684634481,,ปากกาลูกลื่น0.7น้ำเงินGrip X7 เฟเบอร์ *10ด,กล่อง
4743069,,เหรียญรางวัล+ริบบิ้นสี *10ช,แพ็ค
28851907202167,,มาสเตอร์อาร์ตดินสอสี2หัว36สีมาสเตอร์ซีรี่  *6,โหล
4743352,8854246007895,ปากกาสีน้ำ MONAMI Sign Pen Super สีแดง (12ด้าม/กล่อง),กล่อง
47465013320,8851907265151,ตราช้าง แฟ้มกระเป๋าซองตาไก่ 431F ส้ม*12ช,แพ็ค
6953787330843,,ปากกาเจลกดดำ K3571 *12,กล่อง
4746617625,8850172440461,ไหมพรมG-5002-8/40กรัม สีฟ้า*12,แพ็ค
4741016,,วงเวียน ดินสอ V90 (12ชิ้น/แพ็ค),กล่อง
FAH64000378,4742551,ซองขาวสั้นเบอร์7/125 *500ซ,ลัง
47465015510,28851907199054,ปากกา Elephant ลูกลื่น Drift77 0.7มม. หมึกแดง (50ด้าม/กระบอก),กระบอก
4740596,,ดินสอสีไม้ COLLEN No.775 12แท่ง 12สี,แพ็ค
47465013306,18851907043275,ตราช้างอินเด็กซ์แบ่งตามหัวข้อด้วยสี No.320*12แพ็ค,แพ็ค
6947503704339,,M&G-ปากกาเจล/น้ำเงิน0.38mm. 63201 *12ด้าม,กล่อง
6971169561654,,ปากกาลูกลื่น0.5น้ำเงิน ไอติมLP200 *12ด,กล่อง
47465016291,6924853700143,ปากกาเจล0.5 DM-1011*คละสี 12pcs,กล่อง
47466016898,SONC87903,โซ่ไข่ปลาสีทอง 10 ซม. 1*1000 เส้น,ถุง
4746617917,,ซองน้ำตาลขยายข้างใหญ่ KKP 11x17 KA ครุฑ (50ซอง/แพ็ค),แพ็ค
47465014421,,ผ้าเช็ดหน้าบางผืนยาว*12ผืน,แพ็ค
4746719845,8851771623637,ชามแกง B9101-7.5 สีครีมขาว (12ใบ),แพ็ค
18851907291508,,ดินสอดำHB elfen SUGAR (144แท่ง/กุรุส),กุรุส
8854246004290,,ปากกาไวท์บอร์ด MONAMI JUMBO หัวตัด สีน้ำเงิน (12ด้าม/กล่อง),กล่อง
47464011360,6949029910577,ยางลบ FASTER ebony E104 ก้อนสีดำ 20ก้อน/กล่อง,กล่อง
4548351072728,,ปากกายูนิเจ็ทสตรีม101 0.7น้ำเงิน *12ด,กล่อง
6941682685007,,ปากกาลูกลื่น L&P LP100 0.5mm. น้ำเงิน (12ด้าม/กล่อง),กล่อง
6941458323652,,ปากกาตัดเส้นสีดำ0.2 M&G *12ด,กล่อง
47464012467,28851907275994,กบเหลาดินสอ มาสเตอร์อาร์ต No.1 สีพาสเทล (60ชิ้น/กระปุก),กระปุก
6970323810126,,ปากกาไฮไลท์กลิ่นผลไม้สีเขียว SH808S *10ด,กล่อง
47465015513,8851907258658,ปากกา Elephant ลูกลื่น Drift76.5 0.5มม. หมึกน้ำเงิน (50ด้าม/กระบอก),กระบอก
FAH64000915,18851907112117,กระดาษโน๊ตกาว Elephant 12x50 neon color (12ชิ้น/แพ็ค),แพ็ค
FAH64002181,8851433088903,ปกรายงานA4 PP สีเหลือง *100ผ,ห่อ
4746821157,4743354,สายยางยืดกลม3มิล/144หลา,ม้วน
9555684673718,,73718 ปากกาเน้นข้อความสลิม สีเหลือง *10ด*เฟเบอร์,กล่อง
4746719155,8851552130620,ลวดเสียบกระดาษ ตราม้า ลายปล้องอ้อย No.00*10กล่อง,แพ็ค
6947503725716,,ไส้ปากกาเจล M&G 1.0มม. AGR67017ดำ (20ชิ้น/กล่อง),กล่อง
28851907065823,,ดินสอวาดเขียนHB เรนาซองซ์ *12ท,กล่อง
8854556000319,,ปากกาลบคำผิดลิควิดเปเปอร์ 7ml. (12ชิ้น/กล่อง),กล่อง
4740955,,"ไม้บรรทัดพลาสติกทึบ12"" *12ช",โหล
FAH64002156,8851433006211,แฟ้มซองเอกสารชั้นเดียว ORCA F4 คละสี (12แผ่น/แพ็ค),แพ็ค
4746718956,,แฟ้มซองกระดุมF4 MT MF-OS07 (12ชิ้น/แพ็ค),โหล
FAH64002255,8851433133962,OC*แฟ้มกระดุมเม็ดเดียวA4 พลาสเทลคละสี*แพ็ค12,แพ็ค
6947503710989,,ปากกาหมึกเจลสีดำGP1111B *12,กล่อง
18851907278257,,ปากกาชาร์โคล0.7 แดง ควอนตั้ม *12ด,แพ็ค
4746719843,8851771623651,ชามแกง B9103-8 สีครีม (12ใบ),แพ็ค
8809061706911,,ปากกาลูกลื่น แดง 1.0mm.*12ด*JAVA,กล่อง
47464012048,,สมุดโน๊ตเย็บลวดA5*NF3G-152*ตาราง*12ล.,แพ็ค
47465013473,,แฟ้มประวัติพนักงานส่วนตำบล (25เล่ม/แพ็ค),แพ็ค
18851907257962,,ตราช้างสมุดฉีก A4 P-102T *10ล,แพ็ค
4741366,,TM*สพฐ80แผ่น/55g/เส้นคู่*12ล.,แพ็ค
FAH64001386,4741443,กาว TOA 8ออนซ์ (24กระปุก/กล่อง),กล่อง
18851907277182,,สมุดริมลวดตราช้างWPP-124T *10ล,แพ็ค
4746617857,8859196117045,เทปผ้า Armstrong 24mmx8 สีฟ้า*12,แพ็ค
47464011876,8801067432238,ปากกาลูกลื่น153*แทรเวล0.5*นง.แพ็คกิ้งพิงค์*12ด.,กล่อง
8809331230108,,ปากกาลูกลื่น0.38 FASTER CX910 FLORAL น้ำเงิน (12ด้าม/กล่อง),กล่อง
4007817323366,,ปากกาไฮไลท์สเต็ดเล่อร์ เหลือง *10ด,กล่อง
FAH64000952,28851907147352,"กรรไกร ตราช้าง kid-D 5""1/2 SCB0455 (12ชิ้น/กล่อง)",กล่อง
4746822027,8859196111487,เทปผ้า Armstrong 36mmx8 สีดำ *8,แพ็ค
4746718943,8851907265014,แฟ้มกระเป๋าซองตาไก่ Elephant 435F สีส้ม (12ชิ้น/แพ็ค),แพ็ค
4746718754,,ไม้บรรทัดใสหนา MODELA 12นิ้ว (12ชิ้น/แพ็ค),แพ็ค
4746718942,8851907265021,แฟ้มกระเป๋าซองตาไก่ Elephant 435F สีม่วง (12ชิ้น/แพ็ค),แพ็ค
FAH64003039,8856602047248,สายคล้องคอสีฟ้าSTR01 *100ส,แพ็ค
8851023013551,,พู่กันกลม I-PAINT #8 (10ชิ้น/แพ็ค),แพ็ค
4746820324,8935324031220,ปากกาเจล flexoffice QUICK DRY 0.5 FO-GEL033 สีดำ (10ด้าม/กล่อง),กล่อง
FAH64003358,8801067392617,โมนามิ ปากกาไวท์บอร์ดมินิ ดำ *12ด,กล่อง
